index,input,old_status,old_runtime_seconds,old_over_75,old_candidates_unique,old_queries_attempted,old_provider_calls_executed,old_page_fetches,old_pages_loaded,old_official_pages,old_exact_official_pages,old_accepted_urls,old_support_pages,old_documents,old_net_provider_blocks,old_net_http_403,old_net_http_429,old_net_provider_timeouts,old_provider_other_errors,old_program_faults,old_hard_stop,old_stop_reason,old_stopped_in,old_post_result_cleanup_seconds,new_status,new_runtime_seconds,new_over_75,new_candidates_unique,new_queries_attempted,new_provider_calls_executed,new_page_fetches,new_pages_loaded,new_official_pages,new_exact_official_pages,new_accepted_urls,new_support_pages,new_documents,new_net_provider_blocks,new_net_http_403,new_net_http_429,new_net_provider_timeouts,new_provider_other_errors,new_program_faults,new_hard_stop,new_stop_reason,new_stopped_in,new_post_result_cleanup_seconds,new_accepted_not_in_old,old_accepted_not_in_new
1,Bosch WAN28254GB,PASS,69.552,False,46,3,6,4,1,1,1,['bosch-home.co.uk/en/product/laundry/washing-machines/front-load-washing-machine/wan28254gb'],0,0,1,0,0,2,0,,False,,{},,PASS,77.564,True,10,3,10,4,4,1,1,['bosch-home.co.uk/en/product/laundry/washing-machines/front-load-washing-machine/wan28254gb'],0,0,2,0,0,1,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.462,,
2,Siemens SN23EI03ME,PASS,63.133,False,10,3,10,1,1,1,1,['siemens-home.bsh-group.com/uk/en/mkt-product/sn23ei03me'],0,0,2,0,0,2,0,,False,,{},,PASS,51.177,False,10,3,5,1,1,1,1,['siemens-home.bsh-group.com/uk/en/mkt-product/sn23ei03me'],0,0,0,0,0,0,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.062,,
3,Samsung RB38C7B6AS9,PARTIAL,85.617,True,14,4,8,3,2,0,0,[],0,0,1,0,0,1,0,,False,,{},,PARTIAL,81.108,True,47,8,0,0,0,0,0,[],0,0,0,0,0,0,0,,True,hard_deadline,"{""kind"": ""between_calls"", ""target"": """", ""stalled_seconds"": null}",,,
4,Electrolux EOD6P77WX,PARTIAL,71.106,False,51,11,34,3,0,0,0,[],0,0,11,0,0,1,0,,False,,{},,PARTIAL,69.73,False,66,11,38,3,0,0,0,[],0,0,11,0,0,1,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.252,,
5,AEG IKE64441FB,PARTIAL,75.481,True,49,7,26,1,0,0,0,[],0,0,8,0,0,1,0,,False,,{},,PARTIAL,69.341,False,59,8,26,1,0,0,0,[],0,0,8,0,0,1,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.303,,
6,Miele TWD260WP,PARTIAL,76.772,True,119,10,23,2,0,0,0,[],0,0,5,2,0,1,0,,False,,{},,PARTIAL,61.682,False,110,10,23,3,0,0,0,[],0,0,5,6,0,1,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.353,,
7,Haier HCR5919EHMB,PASS,64.515,False,10,3,5,2,2,1,1,['haier-europe.com/en_gb/products/34005047-hcr5919ehmb-uk'],0,0,0,0,0,0,0,,False,,{},,PASS,60.47,False,11,8,14,3,3,1,1,['haier-europe.com/en_gb/products/34005047-hcr5919ehmb-uk'],0,0,3,0,0,1,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.455,,
8,DeLonghi Eletta Explore ECAM450.86.T,PARTIAL,79.626,True,117,9,25,4,0,0,0,[],0,0,7,0,0,1,0,,False,,{},,PARTIAL,36.322,False,74,9,16,2,2,0,0,[],0,0,2,0,0,1,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.101,,
9,Philips Airfryer Combi XXL HD9876/90,PARTIAL,78.809,True,39,7,28,1,1,0,0,[],0,0,9,0,0,2,0,,False,,{},,PASS,33.915,False,1,3,11,1,1,1,1,['home-appliances.philips/de/de/p/hd9876_90'],0,0,5,0,0,1,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.253,home-appliances.philips/de/de/p/hd9876_90,
10,Dyson V15 Detect,PARTIAL,76.813,True,82,10,30,4,0,0,0,[],0,0,10,0,0,2,0,,False,,{},,PARTIAL,66.332,False,212,11,28,4,4,0,0,[],0,0,3,0,0,1,0,,False,cleanup_exceeded_grace,"{""kind"": ""post_result_cleanup"", ""target"": """", ""stalled_seconds"": null}",2.016,,
11,Kärcher K5 Power Control,PARTIAL,105.53,True,50,8,38,0,0,0,0,[],0,0,11,0,0,1,0,,False,,{},,PARTIAL,44.01,False,145,8,27,0,0,0,0,[],0,0,5,0,0,1,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.303,,
